left_inside_boundary|right_inside_boundary|left_road_boundary|right_road_boundary|left_lane_marking|right_lane_marking
46.3982293752,11.2976731223|46.3982127033,11.2976630818|46.3982863377,11.2977106071|46.3981557408,11.2976262664|46.3982548463,11.297690526|46.3981839905,11.2976443394
46.3981533754,11.2976231223|46.3981362403,11.2976124124|46.3982098749,11.2976606071|46.3980792777,11.2975755971|46.3981788465,11.2976398566|46.3981075275,11.2975943394
46.3980502814,11.2975604611|46.3980377774,11.2975484124|46.3981114121,11.2975959378|46.3979808147,11.2975115971|46.3980803837,11.2975758566|46.3980090645,11.29752967
46.3979549128,11.2974941223|46.3979377776,11.2974834124|46.3980114125,11.2975309378|46.3978808148,11.2974465971|46.397980384,11.2975108566|46.3979090647,11.29746467
46.3978518188,11.2974307917|46.3978388516,11.297418743|46.3979129497,11.2974662684|46.3977818887,11.2973819277|46.397881458,11.2974461872|46.3978106017,11.2974000007
46.3977689132,11.2973721223|46.3977513149,11.297360743|46.3978254131,11.2974089378|46.3976943519,11.2973239277|46.3977939214,11.2973888566|46.397723065,11.29734267
46.3976431676,11.2973054774|46.3976288111,11.2972940981|46.3977042988,11.2973362684|46.3975704586,11.297261299|46.397672807,11.2973181954|46.3975996349,11.2972780332
46.3975533564,11.2972357917|46.3975403891,11.297223743|46.3976144876,11.2972712684|46.3974834259,11.2971869277|46.3975829958,11.2972511872|46.3975121391,11.2972050007
46.3974584509,11.2971701223|46.3974413156,11.297158743|46.3975154142,11.2972069377|46.3973843523,11.2971219277|46.3974839223,11.2971868566|46.3974130655,11.29714067
46.3973533569,11.2971057917|46.3973413158,11.297093743|46.3974154146,11.2971419377|46.3972843524,11.2970569277|46.3973839226,11.2971218566|46.3973130656,11.29707567
46.3972489883,11.2970334529|46.397232316,11.297022743|46.397306415,11.2970709377|46.3971753525,11.2969859277|46.3972749229,11.2970508566|46.3972040658,11.29700467
46.3971688942,11.2969861223|46.3971568531,11.296974743|46.3972309521,11.2970222684|46.3970998894,11.2969379277|46.39719946,11.2970021872|46.3971286028,11.2969560007
46.3970725994,11.2969207836|46.3970563902,11.296910743|46.3971304893,11.2969582684|46.3969994264,11.2968739277|46.3970989972,11.2969381872|46.3970281399,11.2968920007
46.3969710627,11.2968547836|46.3969548535,11.296844743|46.3970289528,11.2968922684|46.3968978897,11.2968079277|46.3969974606,11.2968721872|46.3969266031,11.2968260007
46.3968725261,11.2967914529|46.3968553906,11.296780743|46.39692949,11.2968282684|46.3967984267,11.2967439277|46.3968979978,11.2968081872|46.3968271402,11.2967620007
46.3967485264,11.2967124529|46.3967313909,11.296701743|46.3968054905,11.2967492684|46.3966744268,11.2966649277|46.3967739981,11.2967291872|46.3967031404,11.2966830007
46.3966495266,11.2966494529|46.3966323911,11.296638743|46.3967064908,11.2966862684|46.3965754269,11.2966019277|46.3966749984,11.2966661872|46.3966041405,11.2966200006
46.39654617,11.2965984774|46.3965327394,11.2965877674|46.3966082286,11.2966292684|46.3964743858,11.2965549684|46.3965767362,11.2966118647|46.3965035626,11.2965710332
46.3964495271,11.2965224529|46.3964323915,11.296511743|46.3965064915,11.2965592684|46.3963754271,11.2964749277|46.396474999,11.2965391872|46.3964041409,11.2964930006
46.3963494536,11.2964591223|46.3963327811,11.2964484124|46.3964064181,11.2964959377|46.3962758166,11.296411597|46.3963753887,11.2964758566|46.3963040673,11.29642967
46.3962499907,11.2963964529|46.3962337813,11.2963864124|46.3963074185,11.2964339377|46.3961768167,11.296349597|46.396276389,11.2964138566|46.3962050674,11.29636767
46.3961524541,11.2963351223|46.3961357815,11.2963244124|46.3962094188,11.2963719377|46.3960788168,11.296287597|46.3961783892,11.2963518566|46.3961070676,11.29630567
46.3960519175,11.2962731223|46.396035708,11.2962630817|46.3961093454,11.2963106071|46.3959787432,11.2962262664|46.3960778527,11.2962905259|46.396006994,11.2962443394
46.3959751389,11.2962311304|46.3959663394,11.296217743|46.3960395138,11.2962672765|46.3959093745,11.2961795889|46.396008021,11.2962458566|46.3959380885,11.2961983312
46.3958741391,11.2961711304|46.3958607083,11.2961590817|46.395934346,11.2962066071|46.3958037434,11.2961222664|46.3959028532,11.2961865259|46.3958319943,11.2961403394
46.3957706762,11.2961111304|46.3957586348,11.2960990817|46.3958322727,11.2961472765|46.3957012066,11.2960622664|46.3958007798,11.2961271953|46.3957299207,11.2960810087
46.3956682871,11.2960534611|46.3956516143,11.2960427511|46.3957261786,11.2960889377|46.395594186,11.2960079439|46.3956946856,11.296069526|46.3956229002,11.2960253475
46.3955645293,11.2959947998|46.3955520247,11.2959834205|46.3956261259,11.2960309458|46.3954950594,11.2959466051|46.3955946329,11.2960108647|46.3955237736,11.2959653475
46.3954883613,11.2959547917|46.3954721516,11.2959447511|46.395546716,11.2959902684|46.3954147231,11.2959092746|46.395515223,11.2959708566|46.3954434373,11.2959273475
